name	en.wikipedia
Type	STRING
LABEL_ABSOLUTE_MAGNITUDE	Absolute_magnitude
LABEL_ALBEDO	Albedo
LABEL_APHELION	Apsis
LABEL_APOAPSIS	Apsis
LABEL_APOGEE	Apsis
LABEL_AVERAGE_ORBITAL_SPEED	Orbital_speed
LABEL_AXIAL_TILT_TO_ECLIPTIC	Axial_tilt
LABEL_AXIAL_TILT_TO_ORBIT	Axial_tilt
LABEL_COLOR_B_V	Color_index
LABEL_ECCENTRICITY	Orbital_eccentricity
LABEL_ESCAPE_VELOCITY	Escape_velocity
LABEL_GALACTIC_PERIOD	Galactic_year
LABEL_HYDROSTATIC_EQUILIBRIUM	Hydrostatic_equilibrium
LABEL_INCLINATION_TO_ECLIPTIC	Orbital_inclination
LABEL_INCLINATION_TO_EQUATOR	Orbital_inclination
LABEL_KN_COMETS	Comet
LABEL_KN_DWF_PLANETS	Dwarf_planet
LABEL_KN_MINOR_PLANETS	Minor_planet
LABEL_KN_NAT_SATELLITES	Natural_satellite
LABEL_KN_PLANETS	Planet
LABEL_KN_QUASI_SATELLITES	Quasi-satellite
LABEL_LUMINOSITY	Luminosity
LABEL_METALLICITY	Metallicity
LABEL_NAT_SATELLITES	Natural_satellite
LABEL_ORBITAL_PERIOD	Orbital_period
LABEL_PERIAPSIS	Apsis
LABEL_PERIGEE	Apsis
LABEL_PERIHELION	Apsis
LABEL_ROTATION_PERIOD	Rotation_period
LABEL_SEMI_MAJOR_AXIS	Semi-major_and_semi-minor_axes
LABEL_STELLAR_CLASSIFICATION	Stellar_classification
LABEL_SURFACE_GRAVITY	Surface_gravity
LABEL_TEMP_CORONA	Stellar_corona
LABEL_TEMP_PHOTOSPHERE	Photosphere
LABEL_VELOCITY_VS_CMB	Cosmic_microwave_background
SYSTEM_SOLAR_SYSTEM	Solar_System
