id,en
SYSTEM_SOLAR_SYSTEM,Solar System
STAR_SUN,Sun
PLANET_MERCURY,Mercury
PLANET_VENUS,Venus
PLANET_EARTH,Earth
PLANET_MARS,Mars
PLANET_CERES,Ceres
PLANET_JUPITER,Jupiter
PLANET_SATURN,Saturn
PLANET_URANUS,Uranus
PLANET_NEPTUNE,Neptune
PLANET_PLUTO,Pluto
MOON_MOON,Moon
MOON_PHOBOS,Phobos
MOON_DEIMOS,Deimos
MOON_IO,Io
MOON_EUROPA,Europa
MOON_GANYMEDE,Ganymede
MOON_CALLISTO,Callisto
MOON_AMALTHEA,Amalthea
MOON_THEBE,Thebe
MOON_ADRASTEA,Adrastea
MOON_METIS,Metis
MOON_HIMALIA,Himalia
MOON_ELARA,Elara
MOON_PASIPHAE,Pasiphae
MOON_SINOPE,Sinope
MOON_LYSITHEA,Lysithea
MOON_CARME,Carme
MOON_ANANKE,Ananke
MOON_LEDA,Leda
MOON_CALLIRRHOE,Callirrhoe
MOON_THEMISTO,Themisto
MOON_MEGACLITE,Megaclite
MOON_TAYGETE,Taygete
MOON_CHALDENE,Chaldene
MOON_HARPALYKE,Harpalyke
MOON_KALYKE,Kalyke
MOON_IOCASTE,Iocaste
MOON_ERINOME,Erinome
MOON_ISONOE,Isonoe
MOON_PRAXIDIKE,Praxidike
MOON_AUTONOE,Autonoe
MOON_THYONE,Thyone
MOON_HERMIPPE,Hermippe
MOON_AITNE,Aitne
MOON_EURYDOME,Eurydome
MOON_EUANTHE,Euanthe
MOON_EUPORIE,Euporie
MOON_ORTHOSIE,Orthosie
MOON_SPONDE,Sponde
MOON_KALE,Kale
MOON_PASITHEE,Pasithee
MOON_HEGEMONE,Hegemone
MOON_MNEME,Mneme
MOON_AOEDE,Aoede
MOON_THELXINOE,Thelxinoe
MOON_ARCHE,Arche
MOON_KALLICHORE,Kallichore
MOON_HELIKE,Helike
MOON_CARPO,Carpo
MOON_EUKELADE,Eukelade
MOON_CYLLENE,Cyllene
MOON_KORE,Kore
MOON_HERSE,Herse
MOON_S_2000_J_11,S/2000 J 11
MOON_S_2003_J_2,S/2003 J 2
MOON_S_2003_J_3,S/2003 J 3
MOON_S_2003_J_4,S/2003 J 4
MOON_S_2003_J_5,S/2003 J 5
MOON_S_2003_J_9,S/2003 J 9
MOON_S_2003_J_10,S/2003 J 10
MOON_S_2003_J_12,S/2003 J 12
MOON_S_2003_J_15,S/2003 J 15
MOON_S_2003_J_16,S/2003 J 16
MOON_S_2003_J_18,S/2003 J 18
MOON_S_2003_J_19,S/2003 J 19
MOON_S_2003_J_23,S/2003 J 23
MOON_S_2010_J_1,S/2010 J 1
MOON_S_2010_J_2,S/2010 J 2
MOON_S_2011_J_1,S/2011 J 1
MOON_S_2011_J_2,S/2011 J 2
MOON_MIMAS,Mimas
MOON_ENCELADUS,Enceladus
MOON_TETHYS,Tethys
MOON_DIONE,Dione
MOON_RHEA,Rhea
MOON_TITAN,Titan
MOON_HYPERION,Hyperion
MOON_IAPETUS,Iapetus
MOON_PHOEBE,Phoebe
MOON_JANUS,Janus
MOON_EPIMETHEUS,Epimetheus
MOON_HELENE,Helene
MOON_TELESTO,Telesto
MOON_CALYPSO,Calypso
MOON_ATLAS,Atlas
MOON_PROMETHEUS,Prometheus
MOON_PANDORA,Pandora
MOON_PAN,Pan
MOON_METHONE,Methone
MOON_PALLENE,Pallene
MOON_POLYDEUCES,Polydeuces
MOON_DAPHNIS,Daphnis
MOON_ANTHE,Anthe
MOON_AEGAEON,Aegaeon
MOON_YMIR,Ymir
MOON_PAALIAQ,Paaliaq
MOON_TARVOS,Tarvos
MOON_IJIRAQ,Ijiraq
MOON_SUTTUNGR,Suttungr
MOON_KIVIUQ,Kiviuq
MOON_MUNDILFARI,Mundilfari
MOON_ALBIORIX,Albiorix
MOON_SKATHI,Skathi
MOON_ERRIAPUS,Erriapus
MOON_SIARNAQ,Siarnaq
MOON_THRYMR,Thrymr
MOON_NARVI,Narvi
MOON_AEGIR,Aegir
MOON_BEBHIONN,Bebhionn
MOON_BERGELMIR,Bergelmir
MOON_BESTLA,Bestla
MOON_FARBAUTI,Farbauti
MOON_FENRIR,Fenrir
MOON_FORNJOT,Fornjot
MOON_HATI,Hati
MOON_HYRROKKIN,Hyrrokkin
MOON_KARI,Kari
MOON_LOGE,Loge
MOON_SKOLL,Skoll
MOON_SURTUR,Surtur
MOON_JARNSAXA,Jarnsaxa
MOON_GREIP,Greip
MOON_TARQEQ,Tarqeq
