id,en
BUTTON_45_DEGREES,45°
BUTTON_CANCEL,Cancel
BUTTON_COMETS,Comets
BUTTON_CREDITS,Credits
BUTTON_DOWN,Down
BUTTON_EXIT,Exit
BUTTON_ICONS,Icons
BUTTON_LOAD_FILE,Load File
BUTTON_MINOR_MOONS,Minor
BUTTON_OPTIONS,Options
BUTTON_ORBITS,Orbits
BUTTON_QUICK_LOAD,Quick Load
BUTTON_QUICK_SAVE,Quick Save
BUTTON_QUIT,Quit
BUTTON_RESUME,Resume
BUTTON_SAVE_AS,Save As
BUTTON_START,Start
BUTTON_TOP,Top
BUTTON_UP,Up
BUTTON_WIKI,Wiki
BUTTON_ZOOM,Zoom
CLASSIFICATION_ASTEROID,Asteroid
CLASSIFICATION_COMET,Comet
CLASSIFICATION_DWARF_PLANET,Dwarf Planet
CLASSIFICATION_MOON,Moon
CLASSIFICATION_PLANET,Planet
CLASSIFICATION_STAR,Star
GAME_SPEED_DAY_PER_SECOND,day/s
GAME_SPEED_HOUR_PER_SECOND,hr/s
GAME_SPEED_MINUTE_PER_SECOND,min/s
GAME_SPEED_MONTH_PER_SECOND,month/s
GAME_SPEED_PAUSED,(paused)
GAME_SPEED_REAL_TIME,real
GAME_SPEED_WEEK_PER_SECOND,week/s
GUI_LARGE,Large
GUI_MEDIUM,Medium
GUI_SMALL,Small
LABEL_ASTEROIDS,Asteroids
LABEL_CLASSIFICATION,Classification
LABEL_COMETS,Comets
LABEL_DATE_TIME,Date/Time
LABEL_DISCARD_CHANGES,Discard changes?
LABEL_DWARF_PLANETS,Dwarf Planets
LABEL_EQUATORIAL_RADIUS,E. Radius
LABEL_ESCAPE_VELOCITY,Esc. Velocity
LABEL_EXIT_WITHOUT_SAVING,Exit without saving?
LABEL_ICONS,Icons
LABEL_LABELS,Labels
LABEL_LOAD,Load:
LABEL_MAJOR_MOONS,Major Moons
LABEL_MASS,Mass
LABEL_MEAN_RADIUS,M. Radius
LABEL_MINOR_MOONS,Minor Moons
LABEL_MOONS,Moons
LABEL_ORBITS,Orbits
LABEL_OVERWRITE_SAVE,Overwrite: 
LABEL_PLANETS,Planets
LABEL_QUIT_WITHOUT_SAVING,Quit without saving?
LABEL_SAVE_AS,Save As:
LABEL_STARS,Stars
LABEL_WIKIPEDIA,Wikipedia
